   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
 2974 |     -1.343474684866524 |     -4.323017002350407 |     -4.323017002349403 |     -4.323017016521616 |   1.00e-12 |   1.42e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2975 |     -0.656891664446315 |     -0.771136276380811 |     -0.771136276379811 |     -0.771030714305774 |   1.00e-12 |   1.06e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2976 |      0.742402887862117 |      0.917505484154599 |      0.917505484155599 |      0.917074542604833 |   1.00e-12 |   4.31e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2977 |      1.488942248850961 |     12.189565425260239 |     12.189565425261177 |     12.189565425261710 |   9.38e-13 |   1.47e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2978 |     -0.322302948663074 |     -0.333947217838346 |     -0.333947217837346 |     -0.333947181765580 |   1.00e-12 |   3.61e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2979 |      0.449082889938384 |      0.481924455638642 |      0.481924455639642 |      0.481923009478933 |   1.00e-12 |   1.45e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2980 |      0.392382006530566 |      0.413842134476382 |      0.413842134477382 |      0.413841813573102 |   1.00e-12 |   3.21e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2981 |     -1.240880716308265 |     -2.920299934457097 |     -2.920299934456097 |     -2.920300332997330 |   1.00e-12 |   3.99e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2982 |     -1.394776278009056 |     -5.622376119124948 |     -5.622376119123942 |     -5.622376120550898 |   1.01e-12 |   1.43e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2983 |      0.994192345197693 |      1.537691602245351 |      1.537691602246351 |      1.537748338025927 |   1.00e-12 |   5.67e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2984 |      0.461086323446983 |      0.496802480945296 |      0.496802480946296 |      0.496800538590760 |   1.00e-12 |   1.94e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2985 |     -0.453657340258914 |     -0.487573821102986 |     -0.487573821101986 |     -0.487572201441342 |   1.00e-12 |   1.62e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2986 |      1.230781960911744 |      2.826830818090511 |      2.826830818091512 |      2.826831339889069 |   1.00e-12 |   5.22e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2987 |     -1.284862224540255 |     -3.401474371864793 |     -3.401474371863794 |     -3.401474482651214 |   9.99e-13 |   1.11e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2988 |      0.460282863687210 |      0.495801116598714 |      0.495801116599714 |      0.495799211777727 |   1.00e-12 |   1.90e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2989 |     -1.234030891718440 |     -2.856312736454583 |     -2.856312736453583 |     -2.856313215350977 |   9.99e-13 |   4.79e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2990 |     -1.514187942569296 |    -17.646354257886046 |    -17.646354257885037 |    -17.646354257886117 |   1.01e-12 |   7.11e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2991 |      1.264504919824465 |      3.162123251214415 |      3.162123251215414 |      3.162123456268053 |   9.98e-13 |   2.05e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2992 |     -0.435587504355465 |     -0.465401210861755 |     -0.465401210860755 |     -0.465400182438826 |   1.00e-12 |   1.03e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2993 |      1.455004487266340 |      8.597555355129646 |      8.597555355130627 |      8.597555355162701 |   9.81e-13 |   3.31e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2994 |     -0.905906339457343 |     -1.275558619659568 |     -1.275558619658568 |     -1.275755886218449 |   1.00e-12 |   1.97e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2995 |     -0.815714525087675 |     -1.062548118208042 |     -1.062548118207041 |     -1.063140470422093 |   1.00e-12 |   5.92e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2996 |     -1.389033567507038 |     -5.440955590076676 |     -5.440955590075675 |     -5.440955591979293 |   1.00e-12 |   1.90e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2997 |      0.793066359857521 |      1.015455209432066 |      1.015455209433065 |      1.016218151901788 |   9.99e-13 |   7.63e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2998 |     -0.659331346167890 |     -0.775034058396338 |     -0.775034058395338 |     -0.774923929025208 |   1.00e-12 |   1.10e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 2999 |     -0.951854383947500 |     -1.403877427756228 |     -1.403877427755228 |     -1.403983038794192 |   1.00e-12 |   1.06e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3000 |      0.520895409141296 |      0.573751388907207 |      0.573751388908207 |      0.573743760360745 |   1.00e-12 |   7.63e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3001 |      1.216846104390416 |      2.706275312134026 |      2.706275312135027 |      2.706276059151840 |   1.00e-12 |   7.47e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3002 |      0.610991920485664 |      0.700396348380952 |      0.700396348381952 |      0.700350086132599 |   1.00e-12 |   4.63e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3003 |     -1.302491009953393 |     -3.637229933024709 |     -3.637229933023708 |     -3.637229995673854 |   1.00e-12 |   6.26e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3004 |      1.233840326519636 |      2.854568390254040 |      2.854568390255041 |      2.854568871577661 |   1.00e-12 |   4.81e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3005 |     -1.125758862446817 |     -2.096659579998215 |     -2.096659579997213 |     -2.096665325807717 |   1.00e-12 |   5.75e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3006 |      1.261657212187810 |      3.131080696287937 |      3.131080696288937 |      3.131080919044140 |   9.99e-13 |   2.23e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3007 |     -1.183992255137716 |     -2.455048841937157 |     -2.455048841936150 |     -2.455050491166548 |   1.01e-12 |   1.65e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3008 |      0.453733900419144 |      0.487668585312287 |      0.487668585313286 |      0.487666962591546 |   1.00e-12 |   1.62e-06 | 0.0000000000 | 0.0156264305 | 0.0000000000
 3009 |      0.842482318210868 |      1.121219733157146 |      1.121219733158144 |      1.121654009546416 |   9.98e-13 |   4.34e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3010 |      0.870063613986484 |      1.185477863158902 |      1.185477863159899 |      1.185788991645064 |   9.97e-13 |   3.11e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3011 |     -0.145826326849271 |     -0.146868876862737 |     -0.146868876861737 |     -0.146868876857067 |   1.00e-12 |   5.67e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3012 |      0.158717557045357 |      0.160063890244233 |      0.160063890245233 |      0.160063890229815 |   1.00e-12 |   1.44e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3013 |      0.399936202046228 |      0.422718018666506 |      0.422718018667506 |      0.422717621843178 |   1.00e-12 |   3.97e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3014 |      1.354896184523851 |      4.559579567356104 |      4.559579567357102 |      4.559579576279027 |   9.98e-13 |   8.92e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3015 |     -0.907647004338073 |     -1.280141613314348 |     -1.280141613313348 |     -1.280334431682751 |   1.00e-12 |   1.93e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3016 |      1.038861856961877 |      1.699181826622070 |      1.699181826623070 |      1.699209714585047 |   1.00e-12 |   2.79e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3017 |     -1.145970733930108 |     -2.210564990494996 |     -2.210564990493993 |     -2.210568791556654 |   1.00e-12 |   3.80e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3018 |      0.960800131947169 |      1.430792839985530 |      1.430792839986529 |      1.430885814656626 |   1.00e-12 |   9.30e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3019 |     -0.300231452064669 |     -0.309589867233976 |     -0.309589867232976 |     -0.309589850798852 |   1.00e-12 |   1.64e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3020 |      0.899780780115329 |      1.259591033443014 |      1.259591033444014 |      1.259804675728029 |   1.00e-12 |   2.14e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3021 |     -1.152156845855510 |     -2.247485493511359 |     -2.247485493510355 |     -2.247488829518042 |   1.00e-12 |   3.34e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3022 |     -1.530889396844666 |    -25.045000718520939 |    -25.045000718519979 |    -25.045000718520985 |   9.59e-13 |   4.62e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3023 |     -1.312247267076835 |     -3.781168353665560 |     -3.781168353664559 |     -3.781168398617172 |   1.00e-12 |   4.50e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3024 |      0.601918733018068 |      0.686957297097583 |      0.686957297098584 |      0.686918260073242 |   1.00e-12 |   3.90e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
